city_town,ward,precinct,State_Rep,State_Senate,Gov_Council,US_House,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24
Walpole,-,2A,Eighth Norfolk,Norfolk and Suffolk,Fourth,8,25.072659643157216,18.476388364832264,19.06700064207568,16.91203103936113,18,21
Walpole,-,3,Eighth Norfolk,Norfolk and Suffolk,Fourth,8,1301.0634359615362,848.6028812266577,996.5872336089718,830.244947957702,1365,950
Walpole,-,4,Eighth Norfolk,Norfolk and Suffolk,Fourth,8,1120.3968724723643,595.7810730655162,853.9832839040172,556.5489350229172,924,641
Walpole,-,5,Ninth Norfolk,Norfolk and Suffolk,Fourth,8,985.089097553935,702.7767434616031,778.76036286392,678.4019469252206,858,762
Walpole,-,5A,Eighth Norfolk,Norfolk and Suffolk,Fourth,8,29.36412433875865,20.94878902693828,23.213754148751928,20.222210529619066,25,20
Walpole,-,6,Twelfth Norfolk,Norfolk and Suffolk,Fourth,8,1236,794,972,788,1197,793
Walpole,-,7,Twelfth Norfolk,Norfolk and Suffolk,Fourth,8,1173,838,907,809,1092,864
Walpole,-,8,Eleventh Norfolk,Norfolk and Suffolk,Fourth,8,1155,828,846,823,1068,901
Waltham,1,1,Ninth Middlesex,Third Middlesex,Third,5,1454.2294392523363,631.5719626168225,1148.7390186915889,610.1838785046729,1370,596
Waltham,1,2,Ninth Middlesex,Third Middlesex,Third,5,1369.4650666666666,712.1989333333333,1197.9205333333334,701.5978666666666,1164,748
Waltham,1,2A,Tenth Middlesex,Third Middlesex,Third,5,8.336533333333334,4.335466666666666,7.292266666666667,4.270933333333333,4,11
Waltham,2,1,Ninth Middlesex,Third Middlesex,Third,5,1386,640,1206,567,1259,600
Waltham,2,2,Ninth Middlesex,Third Middlesex,Third,5,1200.2268286978265,355.7943876899404,985.97844954799,342.5936224658588,994,350
Waltham,3,1,Ninth Middlesex,Third Middlesex,Third,5,1266.6774379688402,863.197345643393,1055.5556837853433,835.1898442008079,1129,885
Waltham,3,2,Ninth Middlesex,Third Middlesex,Third,5,1320.5716602139544,648.2826800640096,1115.3169938582146,621.540069413392,1230,641
Waltham,3,2A,Tenth Middlesex,Third Middlesex,Third,5,26.233968125781157,12.87853410585821,22.15645795569927,12.347275699710972,20,15
Waltham,4,1,Ninth Middlesex,Third Middlesex,Third,5,1343.881954200194,678.3183706411087,1127.3476788136652,687.9639192686844,1242,679
Waltham,4,1A,Tenth Middlesex,Third Middlesex,Third,5,25.836355658960912,13.040784288468735,21.67344794689831,13.226221576386012,25,6
Waltham,4,2,Tenth Middlesex,Third Middlesex,Third,5,460.0166061164916,199.66141815856255,409.8523736254524,192.00456796650113,237,107
Waltham,5,1,Tenth Middlesex,Third Middlesex,Third,5,1101.5844155844156,434.1948051948051,1028.4935064935064,414.1818181818182,983,483
Waltham,5,2,Ninth Middlesex,Third Middlesex,Third,5,950.6599172907136,262.7431777566699,771.4310827686334,253.23332024403408,712,212
Waltham,5,2A,Tenth Middlesex,Third Middlesex,Third,5,156.9841717977679,43.387250693384686,127.3877939154301,41.81687091994211,138,28
Waltham,6,1,Ninth Middlesex,Third Middlesex,Third,5,1235.215130193595,337.1746220638247,1053.2920397591406,369.0522734804799,1091,340
Waltham,6,2,Tenth Middlesex,Third Middlesex,Third,5,664.4240738647488,198.67949726465153,582.652503651491,203.94900552312103,678,247
Waltham,6,2A,Ninth Middlesex,Third Middlesex,Third,5,130.1882167353084,38.92954886522946,114.16577666358222,39.96206395645984,133,64
Waltham,7,1,Ninth Middlesex,Third Middlesex,Third,5,1275.161032041682,500.4880551043443,1065.3445221218274,499.7616118347267,1256,488
Waltham,7,2,Ninth Middlesex,Third Middlesex,Third,5,560.3071922573836,135.12315984892678,552.3998704015372,132.12483676340415,467,128
Waltham,8,1,Ninth Middlesex,Third Middlesex,Third,5,1207.4584422373237,274.33298484056456,1016.7036069001568,262.53371667537897,1102,310
Waltham,8,2,Tenth Middlesex,Third Middlesex,Third,5,1235.9351419061477,340.4400466019828,1040.268896844331,339.2608827821636,1068,367
Waltham,8,2A,Ninth Middlesex,Third Middlesex,Third,5,22.60641585652857,6.226968557452672,19.0274962555122,6.205400542457409,14,2
Waltham,9,1,Tenth Middlesex,Third Middlesex,Third,5,1094,215,853,199,958,246
Waltham,9,2,Tenth Middlesex,Third Middlesex,Third,5,928,241,833,243,774,271
Ware,-,A,Fifth Worcester,Worcester & Hampshire,Seventh,1,729,554,616,520,702,674
Ware,-,B,First Hampden,Worcester & Hampshire,Seventh,1,697,845,541,733,702,902
Ware,-,C,First Hampden,Worcester & Hampshire,Seventh,1,927,1045,696,936,894,1096
Wareham,-,1,Second Plymouth,Third Bristol & Plymouth,First,9,1026,831,912,784,1073,998
Wareham,-,2,Second Plymouth,Third Bristol & Plymouth,First,9,1285.8450271612307,906.4462514081648,972.653142274004,784.6242145657046,1215,1053
Wareham,-,3,Second Plymouth,Third Bristol & Plymouth,First,9,1279,936,962,865,1189,974
Wareham,-,4,Second Plymouth,Third Bristol & Plymouth,First,9,1121.1055995908976,931.9314753260036,850.2879059064178,864.2270519048836,1063,1045
Wareham,-,5,Second Plymouth,Third Bristol & Plymouth,First,9,1130.8944004091024,978.0685246739964,945.7120940935822,962.7729480951164,1085,1212
Wareham,-,6,Second Plymouth,Third Bristol & Plymouth,First,9,1012.7070757050964,915.274616526472,771.5863433943592,826.6996536368135,910,1037
Warren,-,1,First Hampden,"Hampden, Hampshire & Worcester",Eighth,1,844,1021,653,948,1072,1509
Warwick,-,1,Second Franklin,"Hampshire, Franklin and Worcester",Eighth,2,343,160,271,142,309,174
Washington,-,1,Third Berkshire,"Berkshire, Hampden, Franklin & Hampshire",Eighth,1,240,107,217,89,218,129
Watertown,-,1,Twenty-Ninth Middlesex,Suffolk and Middlesex,Third,5,943.0591406580992,285.8194201787479,859.511488994694,287.7410278007545,941,297
Watertown,-,10,Tenth Middlesex,Suffolk and Middlesex,Third,5,1213.3537117903932,394.8646288209607,1070.3318777292577,387.09170305676855,1204,402
Watertown,-,11,Tenth Middlesex,Suffolk and Middlesex,Third,5,1152.5621143901244,424.10411042558246,1027.64682376205,429.57918179218626,1081,458
